VSC8572,,,
Pin,Unit,Type,Name
F14,OTHER,BI,PHYADD4
F15,RGMII,BI,RGMII0_TXD0
F16,OTHER,BI,RCVRDCLK1
G1,OTHER,BI,LED0_0
G2,OTHER,BI,LED1_0
G3,OTHER,BI,LED2_0
G4,OTHER,BI,LED3_0
G5,POWER,PWR,VDD_1V
G6,POWER,PWR,VSS
G7,POWER,PWR,VSS
G8,POWER,PWR,VSS
G9,POWER,PWR,VSS
G10,POWER,PWR,VSS
G11,POWER,PWR,VSS
G12,POWER,PWR,VDD_1V
G13,OTHER,BI,PHYADD2
G14,OTHER,BI,PHYADD3
G15,RGMII,BI,RGMII0_TXCLK
G16,OTHER,BI,RCVRDCLK2
H1,OTHER,BI,LED0_1
H2,OTHER,BI,LED1_1
H3,OTHER,BI,LED2_1
H4,OTHER,BI,LED3_1
H5,POWER,PWR,VDD_1V
H6,POWER,PWR,VSS
H7,POWER,PWR,VSS
H8,POWER,PWR,VSS
H9,POWER,PWR,VSS
H10,POWER,PWR,VSS
H11,POWER,PWR,VSS
H12,POWER,PWR,VDD_1V
H13,POWER,PWR,VDD_2V5
H14,GPIO,BI,GPIO13/1588_SPI_DO
H15,RGMII,BI,RGMII0_TXCTL
H16,RGMII,BI,RGMII0_RXCLK
J1,RGMII,BI,RGMII1_RXD0
J2,RGMII,BI,RGMII1_RXD1
J3,RGMII,BI,RGMII1_RXD2
J4,RGMII,BI,RGMII1_RXD3
J5,POWER,PWR,VDD_1V
J6,POWER,PWR,VSS
J7,POWER,PWR,VSS
J8,POWER,PWR,VSS
J9,POWER,PWR,VSS
J10,POWER,PWR,VSS
J11,POWER,PWR,VSS
J12,POWER,PWR,VDD_1V
J13,RGMII,BI,RGMII0_RXCTL
J14,GPIO,BI,GPIO12/1588_SPI_CS
J15,OTHER,BI,1588_DIFF_INPUT_CLK_P
J16,OTHER,BI,1588_DIFF_INPUT_CLK_N
K1,RGMII,BI,RGMII1_TXCLK
K2,RGMII,BI,RGMII1_TXCTL
K3,RGMII,BI,RGMII1_RXCTL
K4,RGMII,BI,RGMII1_RXCLK
K5,POWER,PWR,VDD_1V
K6,POWER,PWR,VSS
K7,POWER,PWR,VSS
K8,POWER,PWR,VSS
K9,POWER,PWR,VSS
K10,POWER,PWR,VSS
K11,POWER,PWR,VSS
K12,POWER,PWR,VDD_1V
K13,GPIO,BI,GPIO8/I2C_SDA
K14,GPIO,BI,GPIO9/FASTLINK-FAIL
K15,GPIO,BI,GPIO10/1588_LOAD_SAVE
K16,GPIO,BI,GPIO11
L1,RGMII,BI,RGMII1_TXD0
L2,POWER,NC,RSVD
L3,OTHER,BI,COMA_MODE
L4,POWER,NC,RSVD
L5,POWER,PWR,VDD_1V
L6,POWER,PWR,VSS
L7,POWER,PWR,VSS
L8,POWER,PWR,VSS
L9,POWER,PWR,VSS
L10,POWER,PWR,VSS
L11,POWER,PWR,VSS
L12,POWER,PWR,VDD_1V
L13,GPIO,BI,GPIO4/I2C_SCL_0
L14,GPIO,BI,GPIO5/I2C_SCL_1
L15,RGMII,BI,RGMII0_RXD0
L16,RGMII,BI,RGMII0_RXD1
M1,RGMII,BI,RGMII1_TXD1
M2,OTHER,BI,MDINT
M3,OTHER,BI,NRESET
M4,POWER,PWR,VDD_2V5
M5,POWER,PWR,VDD_1V
M6,POWER,PWR,VSS
M7,POWER,PWR,VSS
M8,POWER,PWR,VSS
M9,POWER,PWR,VSS
M10,POWER,PWR,VSS
M11,POWER,PWR,VSS
M12,POWER,PWR,VDD_1V
M13,POWER,PWR,VDD_2V5
M14,GPIO,BI,GPIO1/SIGDET1
M15,RGMII,BI,RGMII0_RXD2
M16,RGMII,BI,RGMII0_RXD3
N1,RGMII,BI,RGMII1_TXD2
N2,OTHER,BI,MDIO
N3,POWER,NC,RSVD
N4,POWER,NC,RSVD
N5,POWER,PWR,VDD_1V
N6,POWER,PWR,VSS
N7,POWER,PWR,VSS
N8,POWER,PWR,VSS
N9,POWER,PWR,VSS
N10,POWER,PWR,VSS
N11,POWER,PWR,VSS
N12,POWER,PWR,VDD_1V
N13,OTHER,BI,SerDes_Rext_1
N14,GPIO,BI,GPIO0/SIGDET0
N15,OTHER,BI,TDP_0
N16,OTHER,BI,TDN_0
P1,RGMII,BI,RGMII1_TXD3
P2,OTHER,BI,MDC
P3,POWER,PWR,VDD_2V5
P4,POWER,NC,RSVD
P5,POWER,PWR,AVDD_2V5
P6,POWER,PWR,AVDD_1V
P7,POWER,PWR,AVDD_1V
P8,POWER,PWR,AVDD_1V
P9,POWER,PWR,AVDD_1V
P10,POWER,PWR,AVDD_1V
P11,POWER,PWR,AVDD_1V
P12,POWER,PWR,AVDD_2V5
P13,POWER,PWR,AVDD_2V5
P14,OTHER,BI,SerDes_Rext_0
P15,OTHER,BI,RDP_0
P16,OTHER,BI,RDN_0
R1,POWER,PWR,VSS
R2,POWER,NC,RSVD
R3,POWER,NC,RSVD
R4,POWER,NC,RSVD
R5,POWER,NC,RSVD
R6,POWER,NC,RSVD
R7,POWER,NC,RSVD
R8,POWER,NC,RSVD
R9,POWER,NC,RSVD
R10,OTHER,BI,FIBROP_1
R11,OTHER,BI,FIBRIP_1
R12,OTHER,BI,RDP_1
R13,OTHER,BI,TDP_1
R14,OTHER,BI,FIBROP_0
R15,OTHER,BI,FIBRIP_0
R16,POWER,PWR,VSS
T1,POWER,NC,NC
T2,POWER,NC,RSVD
T3,POWER,NC,RSVD
T4,POWER,NC,RSVD
T5,POWER,NC,RSVD
T6,POWER,NC,RSVD
T7,POWER,NC,RSVD
T8,POWER,NC,RSVD
T9,POWER,NC,RSVD
T10,OTHER,BI,FIBRON_1
T11,OTHER,BI,FIBRIN_1
T12,OTHER,BI,RDN_1
T13,OTHER,BI,TDN_1
T14,OTHER,BI,FIBRON_0
T15,OTHER,BI,FIBRIN_0
T16,POWER,NC,NC
